date,value,variance,ar1
2009-02-01,582.0,5280.427536231874,-0.3366211109256774
2009-03-01,505.0,5213.760869565208,-0.3726947938458254
2009-04-01,478.0,5164.579710144918,-0.36842753239582327
2009-05-01,540.0,5555.476449275353,-0.32930628546075574
2009-06-01,585.0,5633.954710144919,-0.2174549286435682
2009-07-01,594.0,5556.144927536223,-0.18243415599629026
2009-08-01,586.0,5577.478260869556,-0.17588135617452466
2009-09-01,585.0,4992.949275362311,-0.0723343105701371
2009-10-01,534.0,4503.210144927527,-0.042101990946003476
2009-11-01,588.0,4728.331521739122,-0.11654208399607072
2009-12-01,581.0,3912.608695652165,-0.010277220847079613
2010-01-01,614.0,3840.427536231876,-0.03366956821898513
2010-02-01,604.0,3778.172101449267,0.009577829431584351
2010-03-01,636.0,3609.54891304347,0.03945728453091165
2010-04-01,687.0,3773.9927536231808,0.08374777925766351
2010-05-01,583.0,4091.67391304347,0.04191185040574565
2010-06-01,536.0,3760.3695652173833,0.19154925713674148
2010-07-01,546.0,3320.650362318833,0.10856164583741756
2010-08-01,599.0,3320.172101449268,0.11880209577746459
2010-09-01,594.0,3312.4275362318776,0.11401214626519289
2010-10-01,543.0,3338.4565217391237,0.06388127025397172
2010-11-01,545.0,2737.737318840573,-0.10910900247889324
2010-12-01,539.0,2391.2445652173847,-0.24347192393827694
2011-01-01,630.0,2503.5362318840516,-0.14034095691947635
2011-02-01,517.0,2718.5634057970947,-0.19042003554465844
2011-03-01,600.0,2751.6068840579646,-0.3636638058257463
2011-04-01,554.0,2817.7971014492687,-0.38515304499192315
2011-05-01,561.0,2662.461956521732,-0.44527442019427377
2011-06-01,608.0,2670.302536231877,-0.44598351097236905
2011-07-01,623.0,2675.99818840579,-0.4256779467008997
2011-08-01,585.0,2737.519927536225,-0.42912119349044475
2011-09-01,650.0,2913.519927536225,-0.46022838510683856
2011-10-01,610.0,2867.188405797095,-0.458506654098287
2011-11-01,711.0,3166.9836956521676,-0.4844451419118672
2011-12-01,694.0,3181.693840579704,-0.4779844517353059
2012-01-01,723.0,3172.519927536226,-0.47950647774631944
