date,value,variance,ar1
2006-03-01,2385807.89,209089742.86276004,-0.09240126827589148
2006-04-01,2397680.6,205805826.98092535,-0.10032059088552012
2006-05-01,2407161.45,205439811.74877408,-0.10463530969734353
2006-06-01,2395813.18,227386652.3909559,-0.08989658456198835
2006-07-01,2403099.25,227849188.62447038,-0.07020313938968069
2006-08-01,2415732.03,226904394.8957313,-0.06632742239167945
2006-09-01,2426813.23,225597374.76729953,-0.07262767626000237
2006-10-01,2429399.86,227106307.04672295,-0.06857905276805996
2006-11-01,2440749.07,226568741.56499842,-0.0708286417934001
2006-12-01,2456715.7,227457759.30696505,-0.07322665130529146
2007-01-01,2457945.58,229774639.00480133,-0.07726901056230964
2007-02-01,2470049.92,229165627.70190132,-0.07759638057892339
2007-03-01,2484433.18,229476118.17704052,-0.07609359570541943
2007-04-01,2493729.77,229510488.01351878,-0.075104189117367
2007-05-01,2510016.06,225285684.5504909,-0.06957044699259977
2007-06-01,2519121.04,224915101.27359718,-0.07020820911510472
2007-07-01,2533667.67,225166354.26305795,-0.07215394121406733
2007-08-01,2552767.07,227382774.05213472,-0.07024235211835975
2007-09-01,2566995.36,225121526.368816,-0.07830868839213118
2007-10-01,2582326.03,223143710.16134793,-0.08644984454908307
2007-11-01,2597649.3,221786626.94137543,-0.09281788715350127
2007-12-01,2609476.53,220346820.0678973,-0.04283385344622214
2008-01-01,2619427.65,38745023.41144815,0.12113763921000456
2008-02-01,2634496.42,39160477.16210408,0.11780691449932341
2008-03-01,2645603.64,39164081.6860742,0.11800549922549705
2008-04-01,2654243.23,39305022.1725264,0.11868469705208774
2008-05-01,2660193.15,40195787.858107045,0.1440369060360457
2008-06-01,2662409.52,22040951.334756218,0.09730895007986495
2008-07-01,2665321.26,24292074.34877861,0.24032492806771638
2008-08-01,2662237.78,32251123.237448175,0.3675364338576292
2008-09-01,2657389.13,41702270.05526053,0.5404127693248748
2008-10-01,2660729.5,41265786.94982634,0.5943474699967072
2008-11-01,2651481.39,55879270.559788465,0.6081994001036418
2008-12-01,2643788.96,64418167.34150367,0.7496160298214731
2009-01-01,2647028.86,63439077.05919133,0.7653007707580559
2009-02-01,2638532.74,73551545.06219307,0.7451335804504795
2009-03-01,2622827.85,92007605.91576472,0.7895011268110463
2009-04-01,2615973.01,97919143.70172758,0.8003449330989323
2009-05-01,2610010.78,96889767.55757967,0.8137319430672084
2009-06-01,2591475.41,116852832.58558169,0.8134124384808299
2009-07-01,2590854.98,111228735.06698185,0.7463186561983031
2009-08-01,2582126.01,103044367.59005119,0.7167469862879983
2009-09-01,2576594.39,96967403.7947428,0.696121512517252
2009-10-01,2563422.73,93811467.29874977,0.6607649830836007
2009-11-01,2551569.29,86512195.38111691,0.6416671901836705
2009-12-01,2555016.64,79420724.66368656,0.5463480297804718
2010-01-01,2543508.02,75805243.65041697,0.4341834899352152
2010-02-01,2530024.28,64506700.43474701,0.34171280050137215
2010-03-01,2536551.95,59223947.341152005,0.10808525897383625
2010-04-01,2532764.79,51412464.150866844,-0.0056193836590262645
2010-05-01,2521687.94,47188550.342308804,-0.10133905853451516
2010-06-01,2518416.41,44631760.79739572,-0.19835620453915093
2010-07-01,2521104.8,44460763.4345125,-0.2013537257158563
2010-08-01,2520422.13,45311678.82591308,-0.14868676164181674
2010-09-01,2522094.23,47684586.24803723,-0.1196119552984235
2010-10-01,2530106.0,52240637.87279078,0.014105312847337893
2010-11-01,2531232.26,53292137.21856082,0.07566482159017658
2010-12-01,2646811.26,657702791.6554257,0.19550399032591426
2011-01-01,2657360.1,661907765.4550759,0.13794621723540948
2011-02-01,2663779.92,659599858.2678608,0.13242747324415724
2011-03-01,2672031.38,648605411.2873526,0.12564155336735508
2011-04-01,2679950.15,646259663.1119473,0.12291169059116862
2011-05-01,2683973.45,642922576.229087,0.1121628658325368
2011-06-01,2693088.33,622802643.9023892,0.10673253258731025
2011-07-01,2717525.97,638388088.4179312,0.10792323260057514
2011-08-01,2709151.87,637961106.1788348,0.07726328306534584
2011-09-01,2720060.44,633748453.1299747,0.05809056271474718
2011-10-01,2727962.54,617161445.5246702,0.033286862601970314
2011-11-01,2746799.26,606477096.6500875,0.027853144768322884
2011-12-01,2756224.85,605529593.0461223,0.021932135587174374
2012-01-01,2770124.65,588478493.9818133,-0.012844141877673352
